accelX accelY accelZ sec nanosec
-0.08 0.05 -0.07 1698767276 778938125
-0.03 0.03 -0.01 1698767276 878923224
-0.04 0.07 -0.04 1698767276 979847080
-0.05 0.04 -0.02 1698767277 81277773
-0.07 0.04 -0.04 1698767277 182323549
-0.06 0.07 -0.02 1698767277 282431146
-0.06 0.06 -0.03 1698767277 378011391
-0.06 0.05 -0.04 1698767277 584291095
-0.06 0.07 -0.04 1698767277 678155757
-0.04 0.04 -0.09 1698767277 778256478
-0.09 0.06 -0.03 1698767277 880741264
-0.05 0.05 -0.07 1698767277 980463011
-0.05 0.04 -0.02 1698767278 78951100
-0.06 0.06 -0.03 1698767278 179781708
-0.07 0.05 -0.05 1698767278 279439170
-0.04 0.01 -0.01 1698767278 380394247
-0.2 0.04 0.0 1698767278 482276782
0.32 -0.04 -0.24 1698767278 583417199
-0.04 0.0 -0.08 1698767278 678245292
0.01 -0.01 -0.01 1698767278 777315450
-0.15 0.17 -0.06 1698767278 877377060
-0.02 0.01 -0.02 1698767278 978670266
-0.17 0.11 -0.05 1698767279 78624468
0.09 -0.09 -0.08 1698767279 178834577
-0.13 0.1 -0.02 1698767279 278959827
0.03 -0.04 -0.04 1698767279 380542779
-0.11 0.05 -0.01 1698767279 479389026
0.0 -0.04 0.0 1698767279 579119608
-0.1 0.09 -0.02 1698767279 681334553
-0.01 0.0 -0.03 1698767279 781012764
-0.04 0.03 -0.02 1698767279 882081395
0.0 0.02 -0.01 1698767279 982182391
-0.03 0.15 -0.16 1698767280 77213035
-0.49 -0.12 0.41 1698767280 284290519
0.1 -0.17 0.04 1698767280 378759459
-0.11 0.5 -0.33 1698767280 478703130
0.14 -0.04 -0.1 1698767280 581063689
-0.38 -0.06 0.33 1698767280 677976766
0.22 -0.07 -0.14 1698767280 780595795
-0.09 0.38 -0.28 1698767280 877136994
0.07 -0.21 0.03 1698767280 978195248
-0.32 0.07 0.18 1698767281 77994234
0.2 0.01 -0.23 1698767281 179157251
-0.18 0.31 -0.15 1698767281 281215353
0.0 -0.24 0.07 1698767281 381959419
-0.18 0.13 0.02 1698767281 483594170
0.16 -0.05 -0.13 1698767281 577099246
-0.17 0.26 -0.11 1698767281 677144255
0.08 -0.13 -0.02 1698767281 777719818
-0.26 0.13 0.05 1698767281 877003045
0.11 0.0 -0.17 1698767281 979788686
-0.15 0.14 0.0 1698767282 79111018
0.02 -0.17 0.04 1698767282 179476028
-0.13 0.14 -0.02 1698767282 280929397
0.02 0.05 -0.14 1698767282 383338863
-0.13 0.12 -0.02 1698767282 482097344
-0.04 -0.05 0.0 1698767282 583132557
0.01 0.03 -0.08 1698767282 784845668
-0.15 0.12 -0.02 1698767282 877031753
-0.03 -0.04 -0.02 1698767282 979762646
-0.13 0.14 -0.03 1698767283 78042749
-0.01 0.03 -0.09 1698767283 177999065
-0.06 0.03 0.0 1698767283 278279876
-0.04 -0.01 -0.03 1698767283 378734366
-0.02 0.08 -0.08 1698767283 480076762
-0.08 0.09 -0.04 1698767283 579731666
-0.07 0.04 -0.02 1698767283 679509803
-0.07 0.07 -0.08 1698767283 780172394
-0.01 0.04 -0.09 1698767283 882528604
-0.13 0.08 -0.04 1698767283 981200339
-0.01 -0.02 -0.03 1698767284 83290079
-0.07 0.06 -0.04 1698767284 176983898
-0.06 0.09 -0.06 1698767284 277204513
-0.1 0.07 -0.05 1698767284 379516880
0.0 0.0 -0.05 1698767284 478049431
-0.07 0.06 -0.07 1698767284 580816782
-0.02 0.02 -0.08 1698767284 678262074
-0.15 0.11 -0.03 1698767284 778219099
0.0 -0.02 -0.1 1698767284 878121192
-0.1 0.11 -0.11 1698767284 980683336
0.03 -0.03 -0.06 1698767285 79156742
-0.13 0.11 -0.04 1698767285 182377807
0.03 0.0 -0.07 1698767285 282067488
-0.13 0.12 -0.06 1698767285 382180303
0.0 -0.01 -0.06 1698767285 483569974
-0.12 0.09 -0.07 1698767285 577066242
0.01 -0.01 -0.09 1698767285 677154926
-0.14 0.14 -0.04 1698767285 778830989
0.03 0.0 -0.07 1698767285 877880977
-0.13 0.14 -0.05 1698767285 977913739
0.01 -0.02 -0.09 1698767286 81447396
-0.12 0.14 -0.02 1698767286 179227961
0.03 -0.02 -0.03 1698767286 279777385
-0.12 0.11 -0.03 1698767286 379155475
0.0 0.02 -0.06 1698767286 480774807
-0.13 0.13 -0.02 1698767286 581244337
-0.02 0.04 -0.05 1698767286 681124848
-0.06 0.07 -0.05 1698767286 782186989
-0.01 0.03 -0.06 1698767286 877024908
-0.11 0.12 -0.04 1698767286 976999097
-0.02 0.04 -0.06 1698767287 76989453
